TimeId,GameId,Day,Month,Year,StartTime
1,2012R0101,24,3,2012,7:20 PM
2,2012R0102,29,3,2012,7:45 PM
3,2012R0103,30,3,2012,7:50 PM
4,2012R0104,31,3,2012,1:45 PM
5,2012R0105,31,3,2012,3:45 PM
6,2012R0106,31,3,2012,4:45 PM
7,2012R0107,31,3,2012,7:45 PM
8,2012R0108,1,4,2012,1:10 PM
9,2012R0109,1,4,2012,4:10 PM
10,2012R0201,5,4,2012,7:40 PM
11,2012R0202,7,4,2012,1:45 PM
12,2012R0203,7,4,2012,2:10 PM
13,2012R0204,7,4,2012,2:40 PM
14,2012R0205,7,4,2012,7:10 PM
15,2012R0206,7,4,2012,7:40 PM
16,2012R0207,8,4,2012,1:10 PM
17,2012R0208,8,4,2012,4:40 PM
18,2012R0209,9,4,2012,3:10 PM
19,2012R0301,13,4,2012,7:50 PM
20,2012R0302,14,4,2012,1:45 PM
21,2012R0303,14,4,2012,1:40 PM
22,2012R0304,14,4,2012,2:40 PM
23,2012R0305,14,4,2012,7:40 PM
24,2012R0306,14,4,2012,7:40 PM
25,2012R0307,15,4,2012,1:10 PM
26,2012R0308,15,4,2012,3:15 PM
27,2012R0309,15,4,2012,4:40 PM
28,2012R0401,20,4,2012,7:50 PM
29,2012R0402,21,4,2012,1:45 PM
30,2012R0403,21,4,2012,2:10 PM
31,2012R0404,21,4,2012,4:10 PM
32,2012R0405,21,4,2012,5:40 PM
33,2012R0406,21,4,2012,7:40 PM
34,2012R0407,22,4,2012,1:10 PM
35,2012R0408,22,4,2012,3:15 PM
36,2012R0409,22,4,2012,4:40 PM
37,2012R0501,25,4,2012,2:40 PM
38,2012R0502,27,4,2012,6:45 PM
39,2012R0503,28,4,2012,1:45 PM
40,2012R0504,28,4,2012,4:40 PM
41,2012R0505,28,4,2012,7:40 PM
42,2012R0506,28,4,2012,7:45 PM
43,2012R0507,29,4,2012,1:10 PM
44,2012R0508,29,4,2012,3:15 PM
45,2012R0509,29,4,2012,4:10 PM
46,2012R0601,4,5,2012,7:50 PM
47,2012R0602,5,5,2012,1:40 PM
48,2012R0603,5,5,2012,1:45 PM
49,2012R0604,5,5,2012,4:40 PM
50,2012R0605,5,5,2012,7:40 PM
51,2012R0606,5,5,2012,7:40 PM
52,2012R0607,6,5,2012,1:10 PM
53,2012R0608,6,5,2012,2:45 PM
54,2012R0609,6,5,2012,2:40 PM
55,2012R0701,11,5,2012,7:50 PM
56,2012R0702,12,5,2012,12:45 PM
57,2012R0703,12,5,2012,1:40 PM
58,2012R0704,12,5,2012,4:40 PM
59,2012R0705,12,5,2012,7:40 PM
60,2012R0706,12,5,2012,7:40 PM
61,2012R0707,13,5,2012,1:10 PM
62,2012R0708,13,5,2012,2:40 PM
63,2012R0709,14,5,2012,7:40 PM
64,2012R0801,18,5,2012,7:50 PM
65,2012R0802,19,5,2012,1:15 PM
66,2012R0803,19,5,2012,2:10 PM
67,2012R0804,19,5,2012,4:40 PM
68,2012R0805,19,5,2012,7:10 PM
69,2012R0806,19,5,2012,7:50 PM
70,2012R0807,20,5,2012,1:10 PM
71,2012R0808,20,5,2012,3:15 PM
72,2012R0809,20,5,2012,2:40 PM
73,2012R0901,25,5,2012,7:50 PM
74,2012R0902,26,5,2012,1:45 PM
75,2012R0903,26,5,2012,2:10 PM
76,2012R0904,26,5,2012,4:40 PM
77,2012R0905,26,5,2012,7:10 PM
78,2012R0906,26,5,2012,7:40 PM
79,2012R0907,27,5,2012,1:10 PM
80,2012R0908,27,5,2012,3:15 PM
81,2012R0909,27,5,2012,2:40 PM
82,2012R1001,1,6,2012,7:50 PM
83,2012R1002,2,6,2012,1:45 PM
84,2012R1003,2,6,2012,2:10 PM
85,2012R1004,2,6,2012,2:40 PM
86,2012R1005,2,6,2012,7:10 PM
87,2012R1006,2,6,2012,7:40 PM
88,2012R1007,3,6,2012,1:10 PM
89,2012R1008,3,6,2012,3:15 PM
90,2012R1009,3,6,2012,4:40 PM
91,2012R1101,8,6,2012,7:50 PM
92,2012R1102,9,6,2012,1:40 PM
93,2012R1103,9,6,2012,4:40 PM
94,2012R1104,9,6,2012,7:40 PM
95,2012R1105,10,6,2012,4:10 PM
96,2012R1106,11,6,2012,3:15 PM
97,2012R1201,14,6,2012,5:40 PM
98,2012R1202,15,6,2012,8:10 PM
99,2012R1203,16,6,2012,2:10 PM
100,2012R1204,16,6,2012,7:40 PM
101,2012R1205,17,6,2012,1:10 PM
102,2012R1206,17,6,2012,4:40 PM
103,2012R1301,22,6,2012,7:50 PM
104,2012R1302,23,6,2012,1:40 PM
105,2012R1303,23,6,2012,4:40 PM
106,2012R1304,23,6,2012,5:40 PM
107,2012R1305,24,6,2012,3:15 PM
108,2012R1306,24,6,2012,4:40 PM
109,2012R1401,29,6,2012,7:50 PM
110,2012R1402,30,6,2012,1:45 PM
111,2012R1403,30,6,2012,1:40 PM
112,2012R1404,30,6,2012,2:40 PM
113,2012R1405,30,6,2012,7:40 PM
114,2012R1406,30,6,2012,7:40 PM
115,2012R1407,1,7,2012,1:10 PM
116,2012R1408,1,7,2012,3:15 PM
117,2012R1409,1,7,2012,4:40 PM
118,2012R1501,6,7,2012,7:50 PM
119,2012R1502,7,7,2012,1:45 PM
120,2012R1503,7,7,2012,2:10 PM
121,2012R1504,7,7,2012,4:40 PM
122,2012R1505,7,7,2012,7:10 PM
123,2012R1506,7,7,2012,7:40 PM
124,2012R1507,8,7,2012,1:10 PM
125,2012R1508,8,7,2012,3:15 PM
126,2012R1509,8,7,2012,2:40 PM
127,2012R1601,13,7,2012,7:50 PM
128,2012R1602,14,7,2012,1:45 PM
129,2012R1603,14,7,2012,1:40 PM
130,2012R1604,14,7,2012,4:40 PM
131,2012R1605,14,7,2012,7:40 PM
132,2012R1606,14,7,2012,7:40 PM
133,2012R1607,15,7,2012,1:10 PM
134,2012R1608,15,7,2012,3:15 PM
135,2012R1609,15,7,2012,2:40 PM
136,2012R1701,20,7,2012,7:50 PM
137,2012R1702,21,7,2012,1:45 PM
138,2012R1703,21,7,2012,1:40 PM
139,2012R1704,21,7,2012,4:40 PM
140,2012R1705,21,7,2012,7:10 PM
141,2012R1706,21,7,2012,7:40 PM
142,2012R1707,22,7,2012,1:10 PM
143,2012R1708,22,7,2012,3:15 PM
144,2012R1709,22,7,2012,2:40 PM
145,2012R1801,27,7,2012,7:50 PM
146,2012R1802,28,7,2012,1:45 PM
147,2012R1803,28,7,2012,2:10 PM
148,2012R1804,28,7,2012,4:40 PM
149,2012R1805,28,7,2012,7:40 PM
150,2012R1806,28,7,2012,7:40 PM
151,2012R1807,29,7,2012,12:40 PM
152,2012R1808,29,7,2012,3:15 PM
153,2012R1809,29,7,2012,2:40 PM
154,2012R1901,3,8,2012,7:50 PM
155,2012R1902,4,8,2012,1:45 PM
156,2012R1903,4,8,2012,2:10 PM
157,2012R1904,4,8,2012,2:40 PM
158,2012R1905,4,8,2012,7:40 PM
159,2012R1906,4,8,2012,7:40 PM
160,2012R1907,5,8,2012,1:10 PM
161,2012R1908,5,8,2012,3:15 PM
162,2012R1909,5,8,2012,4:10 PM
163,2012R2001,10,8,2012,6:40 PM
164,2012R2002,11,8,2012,1:45 PM
165,2012R2003,11,8,2012,1:40 PM
166,2012R2004,11,8,2012,4:40 PM
167,2012R2005,11,8,2012,7:40 PM
168,2012R2006,11,8,2012,7:40 PM
169,2012R2007,12,8,2012,1:10 PM
170,2012R2008,12,8,2012,3:15 PM
171,2012R2009,12,8,2012,4:40 PM
172,2012R2101,17,8,2012,7:50 PM
173,2012R2102,18,8,2012,1:45 PM
174,2012R2103,18,8,2012,2:10 PM
175,2012R2104,18,8,2012,2:40 PM
176,2012R2105,18,8,2012,7:40 PM
177,2012R2106,18,8,2012,7:40 PM
178,2012R2107,19,8,2012,12:40 PM
179,2012R2108,19,8,2012,3:15 PM
180,2012R2109,19,8,2012,4:40 PM
181,2012R2201,24,8,2012,7:50 PM
182,2012R2202,25,8,2012,1:45 PM
183,2012R2203,25,8,2012,1:40 PM
184,2012R2204,25,8,2012,4:40 PM
185,2012R2205,25,8,2012,5:40 PM
186,2012R2206,25,8,2012,7:40 PM
187,2012R2207,26,8,2012,1:10 PM
188,2012R2208,26,8,2012,3:15 PM
189,2012R2209,26,8,2012,4:40 PM
190,2012R2301,31,8,2012,7:50 PM
191,2012R2302,1,9,2012,1:45 PM
192,2012R2303,1,9,2012,1:40 PM
193,2012R2304,1,9,2012,4:40 PM
194,2012R2305,1,9,2012,5:40 PM
195,2012R2306,1,9,2012,7:40 PM
196,2012R2307,2,9,2012,1:10 PM
197,2012R2308,2,9,2012,3:15 PM
198,2012R2309,2,9,2012,4:40 PM
199,2012QF01,7,9,2012,7:50 PM
200,2012EF01,8,9,2012,7:45 PM
201,2012QF02,8,9,2012,2:45 PM
202,2012EF02,9,9,2012,1:15 PM
203,2012SF01,14,9,2012,8:15 PM
204,2012SF02,15,9,2012,7:45 PM
205,2012PF01,21,9,2012,7:50 PM
206,2012PF02,22,9,2012,5:15 PM
207,2012GF01,29,9,2012,2:30 PM
208,2013R0101,22,3,2013,8:10 PM
209,2013R0102,23,3,2013,4:40 PM
210,2013R0103,28,3,2013,7:45 PM
211,2013R0104,30,3,2013,1:40 PM
212,2013R0105,30,3,2013,4:40 PM
213,2013R0106,30,3,2013,6:45 PM
214,2013R0107,31,3,2013,1:10 PM
215,2013R0108,31,3,2013,4:40 PM
